name,description,min_weight,max_weight,family_score,children_score,other_dog_score,shedding_score,grooming_score,drooling_score,stranger_score,playfulness_score,protective_score,adaptability_score,trainability_score,energy_score,barking_score,mental_stim_score
Affenpinscher,"Loyal, curious, and famously amusing, this almost-human toy dog is fearless out of all proportion to his size. As with all great comedians, its the Affenpinschers apparent seriousness of purpose that makes his antics all the more amusing.The Affens apish look has been described many ways. Theyve been called monkey dogs and ape terriers. The French say diablotin moustachu (mustached little devil), and Star Wars fans argue whether they look more like Wookies or Ewoks.     Standing less than a foot tall, these sturdy terrier-like dogs approach life with great confidence. This isnt a breed you train, a professional dog handler tells us, Hes like a human. You befriend him. The dense, harsh coat is described as neat but shaggy and comes in several colors; the gait is light and confident. They can be willful and domineering, but mostly Affens are loyal, affectionate, and always entertaining. Affen people say they love being owned by their little monkey dogs.",7,10,3,3,3,3,3,1,5,3,3,4,3,3,3,3
Afghan Hound,"Among the most eye-catching of all dog breeds, the Afghan Hound is an aloof and dignified aristocrat of sublime beauty. Despite his regal appearance, the Afghan can exhibit an endearing streak of silliness and a profound loyalty.Since ancient times, Afghan Hounds have been famous for their elegant beauty. But the thick, silky, flowing coat that is the breeds crowning glory isnt just for show  it served as protection from the harsh climate in mountainous regions where Afghans originally earned their keep. Beneath the Afghans glamorous exterior is a powerful, agile hound  standing as high as 27 inches at the shoulder  built for a long days hunt. Their huge paw-pads acted as shock absorbers on their homelands punishing terrain.  The Afghan Hound is a special breed for special people. A breed expert writes, Its not the breed for all would-be dog owners, but where the dog and owner combination is right, no animal can equal the Afghan Hound as a pet.",50,60,3,3,3,1,4,1,3,3,3,3,1,4,3,3
Airedale Terrier,"His size, strength, and unflagging spirit have earned the Airedale Terrier the nickname The King of Terriers. The Airedale stands among the worlds most versatile dog breeds and has distinguished himself as hunter, athlete, and companion.The Airedale Terrier is the largest of all terrier breeds. Males stand about 23 inches at the shoulder, females a little less. The dense,wiry coat is tan with black markings. Long, muscular legs give Airedales a regal lift in their bearing, and the long headwith its sporty beard and mustache, dark eyes, and neatly folded earsconveys a keen intelligence. Airedales are the very picture of an alert and willing terrieronly bigger. And, like his smaller cousins in the terrier family, he can be bold, determined, and stubborn. Airedales are docile and patient with kids but wont back down when protecting hearth and home. Thanks to their famous do-it-all attitude, Airedales excel in all kinds of sports and family activities.",50,70,3,3,3,1,3,1,3,3,5,3,3,3,3,3
Akita,"The Akita is a muscular, double-coated dog of ancient Japanese lineage famous for their dignity, courage, and loyalty. In their native land, theyre venerated as family protectors and symbols of good health, happiness, and long life.Akitas are burly, heavy-boned spitz-type dogs of imposing stature. Standing 24 to 28 inches at the shoulder, Akitas have a dense coat that comes in several colors, including white. The head is broad and massive, and is balanced in the rear by a full, curled-over tail. The erect ears and dark, shining eyes contribute to an expression of alertness, a hallmark of the breed. Akitas are quiet, fastidious dogs. Wary of strangers and often intolerant of other animals, Akitas will gladly share their silly, affectionate side with family and friends. They thrive on human companionship. The large, independent-thinking Akita is hardwired for protecting those they love. They must be well socialized from birth with people and other dogs.",70,130,3,3,1,3,3,1,2,3,5,3,3,4,2,3
Alaskan Klee Kai,"The Alaskan Klee Kai is a small-sized companion dog that is alert, energetic, and curious, yet reserved with unfamiliar people and situations. The Alaskan Klee Kai is a small sized companion dog with a smooth, agile, and well-balanced gait, a body that is well proportioned with a level topline and a length slightly longer than height.  The wedge-shaped head, erect triangle shaped ears, well furred double coat in three symmetrical contrasting color varieties, and a loosely curled tail reflect its arctic heritage.  ",6,25,3,3,5,3,3,1,1,3,3,3,3,3,3,3
Alaskan Malamute,"An immensely strong, heavy-duty worker of spitz type, the Alaskan Malamute is an affectionate, loyal, and playful but dignified dog recognizable by his well-furred plumed tail carried over the back, erect ears, and substantial bone. The Alaskan Malamute stands 23 to 25 inches at the shoulder and weighs 75 to 85 pounds. Everything about Mals suggests their origin as an arctic sled dog: The heavy bone, deep chest, powerful shoulders, and dense, weatherproof coat all scream, I work hard for a living! But their almond-shaped brown eyes have an affectionate sparkle, suggesting Mals enjoy snuggling with their humans when the workday is done. Mals are pack animals. And in your family pack, the leader must be you. If a Mal doesnt respect you, he will wind up owning you instead of the other way around. Firm but loving training should begin in early puppyhood. That said, a well-behaved Mal is a joy to be withplayful, gentle, friendly, and great with kids.",75,85,3,3,3,3,3,1,3,3,4,3,5,4,3,3
American English Coonhound,"These sleek and racy, lean but muscular hounds work dusk to dawn in pursuit of the wily raccoon. The sight of the American English Coonhound tearing through the moonlit woods, all sinew and determination, bawling their lusty night music, is coon-hunter heaven. Standing as high as 26 inches at the shoulder, American English Coonhounds are deep-chested, sweet-faced athletes beloved by sportsmen for their speed and endurance. Stretched tightly across the athletic frame is a medium-length coat of various patterns, some with ticking. The head is broad with a domed skull, with soft, low-hung ears and dark-brown eyes that glow with warmth and kindness. American English Coonhounds are mellow when off duty but tenacious and stubborn in pursuit of their ring-tailed prey. Their work drive and energy, the patience it takes to train them for things other than coon hunting, and their loud, ringing bark can make the breed a bad fit as house pets for novice owners. Some passionate fans of American English Coonhounds feel that without a sporting outlet for this breeds houndy virtues, youre simply wasting a good dog.",45,65,3,3,5,2,1,1,3,3,3,3,3,4,4,3
American Eskimo Dog,"The American Eskimo Dog combines striking good looks with a quick and clever mind in a total brains-and-beauty package. Neither shy nor aggressive, Eskies are always alert and friendly, though a bit conservative when making new friends. The American Eskimo Dog comes in three sizes standard, miniature, and toy standing as tall as 19 inches at the shoulder or as short as 9 inches. Distinctive traits include a dense, sparkling white coat with a lion-like ruff around the chest and shoulders; a smiling face, with black nose, lips, and eye-rims that convey a keen, intelligent expression; and a plumed tail carried over the back. Some Eskies have markings with the delicious color name biscuit cream. They move with a bold and agile gait. Eskies are social animals and can develop problem behaviors when neglected or undertrained they insist on being part of family life. Among the most trainable of breeds, the clever, kid-friendly Eskie practically invented the phrase eager to please.”",25,35,5,5,3,3,3,1,5,3,3,4,4,4,3,3
American Foxhound,"American Foxhounds are good-natured, low-maintenance hounds who get on well with kids, dogs, even cats, but come with special considerations for prospective owners. They are closely associated with Revolutionary heroes and the rolling estates of old Virginia. American Foxhounds are sleek, rangy hunters known for their speed, endurance, and work ethic. You can tell the American Foxhound apart from their British cousin the English Foxhound by length of legthe Americans legs are longer and more finely bonedand by the Americans slightly arched loin (back end). American Foxhounds have large, soft eyes with an expression described as gentle and pleading. So far, so good. But Foxhounds come with special considerations. They need lots of exercise or they can get depressed and destructive. A Foxhounds single-minded prey drive must be managed. Their loud bawling is melodious to hound lovers but can be a nuisance to neighbors, and training and housebreaking these independent souls can be a steep challenge for novice owners.",60,70,3,5,5,3,1,1,3,3,3,3,3,4,5,3
American Hairless Terrier,"The American Hairless Terrier, a Louisiana native, is a smart, inquisitive, and playful dog that comes in hairless and coated varieties. He is a fine choice for allergy sufferers who want a dog with true terrier grit and courage.The American Hairless Terrier stands between 12 to 16 inches at the shoulder, and comes in both coated and hairless varieties. The hairless variety might have eyebrows and whiskers, while the coated has a short, shiny coat. The skin of the hairless is smooth and warm to the touch. The broad, wedge-shaped head is a hallmark of both varieties. Erect, V-shaped ears frame the round, expressive eyes that gleam with curiosity. ",12,16,5,5,3,1,1,1,3,3,3,5,5,3,3,3
American Leopard Hound,"Intelligence is one of the American Leopard Hounds very best attributes. The breed is loving and affectionate toward their family and they are extremely protective of children. American Leopards are one of the oldest tree dog breeds in the U.S. and have extremely strong tracking abilities, often able to track prey for miles.The American Leopard Hound is a medium to large size dog and comes in three patterns: Solid, Leopard and Brindle; nine different official colors; and a variety of markings, however, sixty percent of all American Leopards are solid-colored dogs. The breed is very versatile in hunting a variety of game species including, but not limited to, raccoon, bear, bobcat, cougar, squirrel, and any other tree-minded game. As an especially tough breed, they also fare exceptionally well in extreme weather, both hot and cold.    ",35,75,3,5,5,3,1,1,1,3,5,5,3,4,5,5
American Staffordshire Terrier,"The American Staffordshire Terrier, known to their fans as AmStaffs, are smart, confident, good-natured companions. Their courage is proverbial. A responsibly bred, well-socialized AmStaff is a loyal, trustworthy friend to the end. AmStaffs are stocky, muscular bull-type terriers standing 17 to 19 inches at the shoulder. The head is broad, the jaws well defined, the cheekbones pronounced, and the dark, round eyes are set wide apart. AmStaff movement is agile and graceful, with a springy gait that advertises the breeds innate confidence. The stiff, glossy coat comes in many colors and patterns. AmStaffers describe their dogs as keenly aware of their surroundings, game for anything, and lovable personality dogs around the house. AmStaffs like mental and physical challenges. They are highly trainable, as their many forays into showbiz suggest. When acquiring an AmStaff, theres only one way to go: Do your homework and find a responsible AKC breeder.",40,70,5,3,3,2,1,1,4,3,5,3,3,3,3,3
American Water Spaniel,"The American Water Spaniel, native to the lake country of the upper Midwest, is an upbeat, outdoorsy athlete who loves to hunt and swim. They are known to be happy, eager, and charming, though aloof with strangers and a bit stubborn. American Water Spaniels are muscular midsize gundogs, not flashy in looks or performance, and recognizable by a luscious brown coat that is either tightly curled or wavy. Bred to work the icy waters and marshy banks of the Great Lakes region, these spaniels are ideally outfitted for the job: The coat is dense and waterproof, the feet are thickly padded, the toes are webbed, and the body is small enough for the dog to hop in and out of a skiff without rocking the boat. The breeds admirers describe a merry, intelligent, and versatile spaniel suited to a variety of dog sports. As hunters, they combine the working traits of spaniels and retrievers. The key to the American Water Spaniels happiness is activity, especially alongside their adored human. An underemployed dog can be barky and destructive.",25,45,3,3,3,1,3,1,3,3,3,3,5,3,3,3
Anatolian Shepherd Dog,"An Anatolian Shepherd Dog is a rugged, imposing flock guardian of ancient lineage. Protective and territorial, but also intelligent, patient, and profoundly loyal, these muscular avengers are prized as working guard dogs without equal. The Anatolian Shepherd Dog stands between 27 and 29 inches at the shoulder and can weigh as much as 150 pounds. Profusely muscled but nimble afoot, Anatolians are more than a match for the predators and harsh terrain of their homeland. Anatolians descend from some of the oldest known domestic-canine bloodlines. This lends the breed a sense of timelessness, a no-frills, untouched quality that takes us back 6,000 years to the Bronze Age. Anatolians are smart, devoted, responsive, and adaptable. They will protect their flocklivestock, children, smaller dogs, even the family catwith intensity. Anatolian owners must be strong leaders, willing and able to handle a dog as dominating and demanding as he is calm and loving.",80,150,1,3,3,3,2,1,1,3,5,3,2,3,3,3
